1-Mean of test accuracies:  82.8759994506836
Confidence interval:  81.12000274658203 84.94999694824219
2- Mean of test accuracies:  81.41500091552734
Confidence interval:  79.22000122070312 84.05000305175781
3- Mean of test accuracies:  82.46299743652344
Confidence interval:  79.47000122070312 84.9000015258789
4- Mean of test accuracies:  81.7669906616211
Confidence interval:  78.79000091552734 84.66000366210938
5- Mean of test accuracies:  82.22100067138672
Confidence interval:  78.05999755859375 83.94000244140625
6- Mean of test accuracies:  81.6659927368164
Confidence interval:  79.2300033569336 83.26000213623047
7- Mean of test accuracies:  81.25499725341797
Confidence interval:  78.3499984741211 82.70999908447266
8- Mean of test accuracies:  82.26699829101562
Confidence interval:  80.56999969482422 83.98999786376953
9- Mean of test accuracies:  82.19099426269531
Confidence interval:  79.23999786376953 83.62000274658203
10- Mean of test accuracies:  81.29199981689453
Confidence interval:  79.86000061035156 82.80000305175781
11- Mean of test accuracies:  81.94500732421875
Confidence interval:  78.23999786376953 85.06999969482422
12- Mean of test accuracies:  81.74500274658203
Confidence interval:  79.02999877929688 83.31999969482422
13- Mean of test accuracies:  80.80699920654297
Confidence interval:  70.62999725341797 84.5199966430664
14- Mean of test accuracies:  80.64100646972656
Confidence interval:  76.05999755859375 83.37000274658203
15- Mean of test accuracies:  80.57600402832031
Confidence interval:  78.05999755859375 82.68000030517578
16- Mean of test accuracies:  82.54500579833984
Confidence interval:  81.52999877929688 84.06999969482422
